date,device,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute9,failure,afailure
1/3/15,S1F023H2,0.851124931,0,0,0.000127111,0.29583428,2.383553927,0.006192776,5.06995E-05,no,no
1/4/15,S1F023H2,1.168953695,0,0,0.000127111,0.29583428,2.389452051,0.006192776,5.06995E-05,no,no
1/5/15,S1F023H2,1.484454094,0,0,0.000127111,0.29583428,2.401490275,0.006192776,5.06995E-05,no,no
1/6/15,S1F023H2,-1.589576236,0,0,0.000127111,0.29583428,2.413699896,0.006192776,5.06995E-05,no,no
1/7/15,S1F023H2,-1.310043945,0,0,0.000127111,0.29583428,2.426554783,0.006192776,5.06995E-05,no,no
1/8/15,S1F023H2,-0.955287774,0,0,0.000127111,0.29583428,2.439691973,0.006192776,5.06995E-05,no,no
1/9/15,S1F023H2,-0.617228567,0,0,0.000127111,0.29583428,2.452496448,0.006192776,5.06995E-05,no,no
1/10/15,S1F023H2,-0.210258531,0,0,0.000127111,0.29583428,2.465270677,0.006192776,5.06995E-05,no,no
1/11/15,S1F023H2,0.171387658,0,0,0.000127111,0.29583428,2.469555639,0.006192776,5.06995E-05,no,no
1/12/15,S1F023H2,0.487743921,0,0,0.000127111,0.29583428,2.48145271,0.006192776,5.06995E-05,no,no
1/13/15,S1F023H2,0.781861446,0,0,0.000127111,0.29583428,2.494428584,0.006192776,5.06995E-05,no,no
1/14/15,S1F023H2,1.154640162,0,0,0.000127111,0.29583428,2.5073238,0.006192776,5.06995E-05,no,no
1/15/15,S1F023H2,1.420470673,0,0,0.000127111,0.29583428,2.520118193,0.006192776,5.06995E-05,no,no
1/16/15,S1F023H2,1.723492799,0,0,0.000127111,0.29583428,2.532862175,0.006192776,5.06995E-05,no,no
1/17/15,S1F023H2,-1.442337796,0,0,0.000127111,0.29583428,2.546241339,0.006192776,5.06995E-05,no,no
1/18/15,S1F023H2,-1.150977931,0,0,0.000127111,0.29583428,2.552411685,0.006192776,5.06995E-05,no,yes
1/19/15,S1F023H2,-0.821591817,0,0,0.000127111,0.29583428,2.561878931,0.006192776,5.06995E-05,yes,yes
1/3/15,S1F03YZM,-0.378260711,0,0,0,-0.45405656,-0.591732269,0,0,no,no
1/4/15,S1F03YZM,-0.055262812,0,0,0,-0.45405656,-0.578201871,0,0,no,no
1/5/15,S1F03YZM,0.252773808,0,0,0,-0.45405656,-0.564842871,0,0,no,no
1/6/15,S1F03YZM,0.583873126,0,0,0,-0.45405656,-0.550848688,0,0,no,no
1/7/15,S1F03YZM,0.967495933,0,0,0,-0.45405656,-0.537933308,0,0,no,no
1/8/15,S1F03YZM,1.27932672,0,0,0,-0.45405656,-0.524292005,0,0,no,no
1/9/15,S1F03YZM,1.62670597,0,0,0,-0.45405656,-0.510438974,0,0,no,no
1/10/15,S1F03YZM,-1.592488991,0,0,0,-0.45405656,-0.496777506,0,0,no,no
1/11/15,S1F03YZM,-1.288493827,0,0,0,-0.45405656,-0.483216861,0,0,no,no
1/12/15,S1F03YZM,-1.002722173,0,0,0,-0.45405656,-0.46927309,0,0,no,no
1/13/15,S1F03YZM,-0.600682611,0,0,0,-0.45405656,-0.456156065,0,0,no,no
1/14/15,S1F03YZM,-0.339574796,0,0,0,-0.45405656,-0.442504679,0,0,no,no
1/15/15,S1F03YZM,-0.047465907,0,0,0,-0.45405656,-0.428913787,0,0,no,no
1/16/15,S1F03YZM,0.240964286,0,0,0,-0.45405656,-0.414990181,0,0,no,no
1/17/15,S1F03YZM,0.655397193,0,0,0,-0.45405656,-0.414314669,0,0,no,no
1/18/15,S1F03YZM,0.526990043,0,0,0,-0.45405656,-0.414314669,0,0,no,no
1/19/15,S1F03YZM,0.357614483,0,0,0,-0.45405656,-0.412509944,0,0,no,no
1/20/15,S1F03YZM,0.615171675,0,0,0,-0.45405656,-0.402165541,0,0,no,no
1/21/15,S1F03YZM,0.802249937,0,0,0,-0.45405656,-0.388151194,0,0,no,no
1/22/15,S1F03YZM,0.92838992,0,0,0,-0.391565657,-0.382858005,0,0,no,no
1/23/15,S1F03YZM,0.23572169,0,0,0,-0.391565657,-0.375155156,0,0,no,no
1/24/15,S1F03YZM,0.257609136,0,0,0,-0.391565657,-0.375155156,0,0,no,no
1/25/15,S1F03YZM,0.995915221,0,0,0,-0.391565657,-0.375155156,0,0,no,no
1/26/15,S1F03YZM,0.108327204,0,0,0,-0.391565657,-0.365708074,0,0,no,no
1/27/15,S1F03YZM,0.350450563,0,0,0,-0.391565657,-0.352228087,0,0,no,no
1/28/15,S1F03YZM,0.687501648,0,0,0,-0.391565657,-0.339030404,0,0,no,no
1/29/15,S1F03YZM,-0.894387531,0,0,0,-0.391565657,-0.333858202,0,0,no,no
1/30/15,S1F03YZM,-0.51384779,0,0,0,-0.391565657,-0.333858202,0,0,no,no
1/31/15,S1F03YZM,-0.456788038,0,0,0,-0.391565657,-0.333817873,0,0,no,no
2/1/15,S1F03YZM,-0.084990989,0,0,0,-0.391565657,-0.333817873,0,0,no,no
2/2/15,S1F03YZM,0.692091503,0,0,0,-0.391565657,-0.333817873,0,0,no,no
2/3/15,S1F03YZM,0.130083397,0,0,0,-0.391565657,-0.333817873,0,0,no,no
2/4/15,S1F03YZM,0.155100573,0,0,0,-0.391565657,-0.33211397,0,0,no,no
2/5/15,S1F03YZM,-0.274628102,0,0,0,-0.391565657,-0.33211397,0,0,no,no
2/6/15,S1F03YZM,-0.358283576,0,0,0,-0.391565657,-0.33211397,0,0,no,no
2/7/15,S1F03YZM,-0.269036484,0,0,0,-0.391565657,-0.33211397,0,0,no,no
2/8/15,S1F03YZM,0.020883695,0,0,0,-0.391565657,-0.33211397,0,0,no,no
2/9/15,S1F03YZM,1.406000114,0,0,0,-0.391565657,-0.33211397,0,0,no,no
2/10/15,S1F03YZM,-1.303741567,0,0,0,-0.391565657,-0.33211397,0,0,no,no
2/11/15,S1F03YZM,-1.415078887,0,0,0,-0.391565657,-0.33211397,0,0,no,no
2/12/15,S1F03YZM,-0.586496924,0,0,0,-0.391565657,-0.332093806,0,0,no,no
2/13/15,S1F03YZM,0.213097938,0,0,0,-0.391565657,-0.332093806,0,0,no,no
2/14/15,S1F03YZM,-0.124000266,0,0,0,-0.391565657,-0.332093806,0,0,no,no
2/15/15,S1F03YZM,-1.009511864,0,0,0,-0.391565657,-0.332093806,0,0,no,no
2/16/15,S1F03YZM,0.402408396,0,0,0,-0.391565657,-0.332093806,0,0,no,no
2/17/15,S1F03YZM,0.726335733,0,0,0,-0.391565657,-0.332093806,0,0,no,no
2/18/15,S1F03YZM,0.716268028,0,0,0,-0.391565657,-0.332093806,0,0,no,no
2/19/15,S1F03YZM,-1.299797074,0,0,0,-0.391565657,-0.332083724,0,0,no,no
2/20/15,S1F03YZM,-0.936516206,0,0,0,-0.391565657,-0.332083724,0,0,no,no
2/21/15,S1F03YZM,-1.564169164,0,0,0,-0.391565657,-0.332083724,0,0,no,no
2/22/15,S1F03YZM,-1.168564141,0,0,0,-0.391565657,-0.332083724,0,0,no,no
2/23/15,S1F03YZM,-1.255292575,0,0,0,-0.391565657,-0.332073641,0,0,no,no
2/24/15,S1F03YZM,-0.619771636,0,0,0,-0.391565657,-0.332073641,0,0,no,no
2/25/15,S1F03YZM,-1.65484527,0,0,0,-0.391565657,-0.332003066,0,0,no,no
2/26/15,S1F03YZM,1.218464513,0,0,0,-0.391565657,-0.332003066,0,0,no,no
2/27/15,S1F03YZM,1.068560041,0,0,0,-0.391565657,-0.331841749,0,0,no,no
2/28/15,S1F03YZM,0.632639349,0,0,0,-0.391565657,-0.331841749,0,0,no,no
3/1/15,S1F03YZM,-0.040625576,0,0,0,-0.391565657,-0.331841749,0,0,no,no
3/2/15,S1F03YZM,-0.617732231,0,0,0,-0.391565657,-0.331841749,0,0,no,no
3/3/15,S1F03YZM,-0.662327108,0,0,0,-0.391565657,-0.331841749,0,0,no,no
3/4/15,S1F03YZM,0.358858087,0,0,0,-0.391565657,-0.331841749,0,0,no,no
3/5/15,S1F03YZM,0.111023097,0,0,0,-0.391565657,-0.331841749,0,0,no,no
